Temp,HsUCP1 Standard,0.1uM NB65 + HsUCP1,0.5uM NB65 + HsUCP1,1uM NB65 + HsUCP1,5uM NB65 + HsUCP1,10uM NB65 + HsUCP1,HsUCP1 Standard,0.1uM NB65 + HsUCP1,0.5uM NB65 + HsUCP1,1uM NB65 + HsUCP1,5uM NB65 + HsUCP1,10uM NB65 + HsUCP1,HsUCP1 Standard,0.1uM NB65 + HsUCP1,0.5uM NB65 + HsUCP1,1uM NB65 + HsUCP1,5uM NB65 + HsUCP1,10uM NB65 + HsUCP1
25.5,0.0426,0.029,0.029925,0.00929,0.012,0.015513,0.0389,0.0298,0.0337,0.014964,0.00771,0.0389,0.0408,0.0114,0.0274,0.0117,0.0123,0.0285
26.5,0.041326,0.0404,0.0321,0.020797,0.020134,0.019,0.0502,0.0283,0.0307,0.0225,0.0137,0.0456,0.0411,0.0161,0.0377,0.0223,0.0243,0.0371
27.5,0.0434,0.0476,0.0334,0.0277,0.0276,0.0221,0.0558,0.033091,0.0335,0.0299,0.021909,0.0508,0.0411,0.0222,0.044,0.0297,0.031026,0.0426
28.5,0.0489,0.0507,0.0339,0.03,0.03454,0.0247,0.055461,0.0442,0.0419,0.0371,0.0323,0.0548,0.0408,0.0295,0.0464,0.0338,0.0325,0.045
29.5,0.0473,0.052,0.038568,0.0315,0.039261,0.0281,0.05387,0.053912,0.0502,0.0389,0.0393,0.059,0.0393,0.0336,0.043,0.0327,0.0298,0.042
30.5,0.0457,0.0549,0.045,0.032,0.0378,0.0309,0.0565,0.052968,0.0507,0.0363,0.0394,0.0649,0.039,0.0377,0.044942,0.0307,0.0293,0.0419
31.5,0.0467,0.0507,0.0421,0.0276,0.025,0.0248,0.0479,0.0416,0.043191,0.0295,0.031588,0.0631,0.0303,0.0377,0.049,0.03,0.0289,0.0423
32.5,0.0407,0.0323,0.0256,0.021,0.00698,0.00926,0.0261,0.0247,0.0277,0.0209,0.0189,0.050434,0.013649,0.0283,0.039237,0.0247,0.020062,0.0351
33.5,0.0235,0.006,0.000753,0.0106,-0.0084,-0.0141,0.00521,0.00543,0.00643,0.0102,0.00185,0.028,-0.00249,0.0104,0.0159,0.0114,0.0012,0.0147
34.5,-0.00483,-0.0166,-0.02563,-0.0113,-0.0209,-0.0404,-0.00865,-0.0123,-0.0162,-0.00591,-0.0168,-0.000692,-0.0143,-0.011,-0.0138,-0.0112,-0.0227,-0.02321
35.5,-0.03377,-0.0312,-0.0461,-0.0481,-0.0386,-0.066,-0.0244,-0.0274,-0.037,-0.0266,-0.0357,-0.0318,-0.000475,-0.00523,-0.0136,-0.0138,-0.0212,-0.0418
36.5,-0.05472,-0.0416,-0.0563,-0.0836,-0.0576,-0.0841,-0.0538,-0.04468,-0.0557,-0.049,-0.0539,-0.0604,0.0377,0.0324,0.0247,0.0185,0.0129,-0.0234
37.5,-0.0611,-0.0505,-0.0574,-0.10129,-0.0663,-0.0888,-0.0766,-0.0654,-0.07118,-0.0667,-0.0628,-0.0744,0.0487,0.0559,0.044248,0.0336,0.029484,-0.0233
38.5,-0.0536,-0.0544,-0.0561,-0.098,-0.066,-0.0854,-0.0768,-0.08018,-0.0786,-0.0747,-0.0632,-0.0684,0.00337,0.033,0.0127,-0.00162,0.00338,-0.0721
39.5,-0.0399,-0.0504,-0.052,-0.0691,-0.0578,-0.0688,-0.0662,-0.0811,-0.0757,-0.0704,-0.0584,-0.0436,-0.0651,-0.0163,-0.04636,-0.056,-0.0368,-0.12068
40.5,-0.021,-0.033,-0.0366,-0.0113,-0.0373,-0.0321,-0.05791,-0.0704,-0.0651,-0.0526,-0.0494,-0.00668,-0.0949,-0.0347,-0.07497,-0.0699,-0.0414,-0.0939
41.5,0.00473,-0.00548,-0.00907,0.0528,-0.00772,0.0169,-0.0505,-0.0513,-0.04615,-0.0218,-0.0312,0.0358,-0.0771,-0.0129,-0.0619,-0.0408,-0.0122,-0.0112
42.5,0.0498,0.0301,0.026,0.093441,0.0252,0.064,-0.0295,-0.0268,-0.0188,0.01781,-0.0019,0.0772,-0.0461,0.0263,-0.0305,-0.00867,0.0187,0.053
43.5,0.114613,0.0739,0.0664,0.116936,0.062,0.100552,0.00637,0.00422,0.0126,0.0581,0.0304,0.116691,-0.00785,0.0826,0.016658,0.0217,0.048,0.088672
44.5,0.183729,0.121887,0.112163,0.15199,0.104657,0.13867,0.0484,0.0423,0.0463,0.0946,0.063863,0.164786,0.0421,0.155213,0.0744,0.0616,0.0821,0.120934
45.5,0.246858,0.172361,0.16274,0.211368,0.152281,0.198998,0.097,0.0822,0.0817,0.131712,0.101693,0.22915,0.0952,0.240721,0.131343,0.115351,0.131666,0.167824
46.5,0.308617,0.224784,0.218575,0.283821,0.206966,0.285783,0.151725,0.120076,0.11964,0.176081,0.146266,0.312379,0.142498,0.330903,0.175784,0.174843,0.19725,0.234121
47.5,0.387296,0.28771,0.281287,0.36536,0.27944,0.394004,0.200973,0.153713,0.157567,0.22544,0.195034,0.411237,0.182202,0.425033,0.210775,0.238106,0.272573,0.319881
48.5,0.478562,0.356887,0.348766,0.452892,0.366852,0.513877,0.240937,0.187482,0.192028,0.283227,0.251758,0.522516,0.220692,0.532242,0.245028,0.31493,0.361998,0.419939
49.5,0.561697,0.416332,0.409204,0.528392,0.452824,0.638966,0.27497,0.220589,0.224884,0.354485,0.318974,0.643549,0.265268,0.642125,0.280715,0.411618,0.463877,0.52607
50.5,0.618438,0.457346,0.449032,0.581114,0.53084,0.761884,0.324176,0.272528,0.275629,0.454393,0.408514,0.77455,0.298597,0.724468,0.304883,0.513712,0.556307,0.62212
51.5,0.636873,0.473861,0.456751,0.609589,0.598263,0.866865,0.373218,0.345685,0.333664,0.567194,0.504534,0.895563,0.306581,0.758621,0.30679,0.596679,0.617617,0.699022
52.5,0.619292,0.46834,0.433673,0.619823,0.645412,0.942856,0.363012,0.384218,0.344313,0.631451,0.555955,0.965395,0.28559,0.747302,0.288371,0.650042,0.643081,0.753221
53.5,0.571789,0.439809,0.393898,0.610707,0.667862,0.987188,0.294002,0.345373,0.283863,0.626745,0.549946,0.965867,0.241494,0.707019,0.248473,0.677462,0.640654,0.779762
54.5,0.50937,0.392238,0.352468,0.585705,0.685584,1.02331,0.218359,0.252984,0.193113,0.579963,0.523533,0.93383,0.196199,0.650131,0.200126,0.694332,0.616528,0.800969
55.5,0.447166,0.340565,0.316739,0.559529,0.717637,1.093571,0.175568,0.171341,0.133427,0.533325,0.524889,0.935813,0.159191,0.581459,0.161146,0.71852,0.586184,0.827961
56.5,0.383968,0.292264,0.277424,0.538625,0.752766,1.209094,0.145125,0.120527,0.115199,0.50221,0.542837,0.990865,0.134124,0.511676,0.137604,0.754235,0.568662,0.851225
57.5,0.318998,0.246156,0.230892,0.529986,0.760952,1.329128,0.101853,0.0852,0.115262,0.485277,0.540454,1.055881,0.115413,0.447693,0.117721,0.770056,0.552508,0.86057
58.5,0.247012,0.195871,0.185199,0.521347,0.737252,1.395542,0.0616,0.0614,0.114558,0.484231,0.510362,1.076322,0.101626,0.379792,0.0875,0.743057,0.517872,0.879707
59.5,0.171895,0.140451,0.145233,0.487321,0.68933,1.391023,0.0341,0.04637,0.102194,0.477217,0.462,1.035462,0.0809,0.293628,0.0546,0.684311,0.465455,0.935726
60.5,0.104842,0.0867,0.107732,0.415847,0.614255,1.326707,0.0184,0.0296,0.0806,0.43811,0.403682,0.952585,0.0461,0.187899,0.0269,0.601912,0.402547,0.973815
61.5,0.0457,0.0475,0.069721,0.317321,0.51329,1.212224,0.0169,0.0142,0.0667,0.374933,0.344064,0.864812,0.0102,0.0813,0.00372,0.496705,0.317595,0.911123
62.5,-0.00191,0.0256,0.0357,0.219338,0.403866,1.075172,0.0217,0.00839,0.0582,0.301108,0.291796,0.787612,-0.014,-0.00238,-0.0174,0.374608,0.202748,0.754309
63.5,-0.0371,0.0192,0.00888,0.135361,0.312224,0.929822,0.0219,0.00509,0.0397,0.227559,0.248259,0.721738,-0.0256,-0.0621,-0.0294,0.257392,0.0846,0.593543
64.5,-0.0672,0.0146,-0.00877,0.0701,0.243037,0.779135,0.0134,-0.000321,0.0139,0.184658,0.205786,0.661063,-0.0409,-0.11057,-0.0328,0.163721,-0.00466,0.496792
65.5,-0.0954,-0.00455,-0.0167,0.0246,0.187912,0.678573,0.00262,-0.00182,-0.0027,0.189798,0.155068,0.624584,-0.0527,-0.14774,-0.0328,0.092822,-0.0554,0.470327
66.5,-0.11938,-0.0308,-0.0156,-0.00898,0.145215,0.678514,0.00339,0.00343,0.0057,0.225265,0.116939,0.657129,-0.05,-0.17484,-0.0297,0.0422,-0.0743,0.504036
67.5,-0.13146,-0.0508,-0.0111,-0.0359,0.123064,0.73998,0.0115,0.00862,0.0264,0.245216,0.120525,0.762585,-0.044,-0.19971,-0.0238,0.023055,-0.06742,0.598138
68.5,-0.12949,-0.0508,-0.0126,-0.0536,0.120169,0.79157,0.0207,0.0135,0.0408,0.245568,0.166607,0.950119,-0.0421,-0.22737,-0.0188,0.0483,-0.0503,0.74184
69.5,-0.12204,-0.0394,-0.0193,-0.0566,0.129797,0.833063,0.0277,0.0208,0.0454,0.25209,0.223515,1.22735,-0.037,-0.24893,-0.0264,0.11811,-0.0463,0.917822
70.5,-0.11652,-0.0364,-0.0206,-0.0453,0.153032,0.908044,0.0296,0.030383,0.0449,0.272636,0.258145,1.558414,-0.0261,-0.25385,-0.0339,0.208898,-0.0494,1.097229
71.5,-0.11811,-0.0424,-0.0135,-0.02769,0.187273,0.988489,0.0323,0.0366,0.0439,0.295149,0.266996,1.85731,-0.0186,-0.25816,-0.0242,0.274635,-0.031,1.275265
72.5,-0.12436,-0.0448,-0.00882,-0.0217,0.209498,1.007771,0.0397,0.0353,0.0457,0.292938,0.256816,2.010165,-0.0301,-0.26459,0.00116,0.281155,0.0132,1.431076
73.5,-0.12326,-0.04315,-0.00865,-0.03324,0.187129,0.941055,0.0503,0.0373,0.0527,0.247629,0.22723,1.937566,-0.0416,-0.24745,0.0166,0.221564,0.0312,1.475621
74.5,-0.11001,-0.0422,-0.00925,-0.0566,0.1249,0.786075,0.0598,0.0465,0.0636,0.159307,0.185823,1.612481,-0.0298,-0.20726,0.00646,0.127156,-0.0199,1.30241
75.5,-0.10433,-0.041,-0.0131,-0.0879,0.0504,0.544241,0.0687,0.0616,0.0702,0.0727,0.142829,1.079812,-0.0109,-0.19198,-0.00951,0.0497,-0.11307,0.871971
76.5,-0.10845,-0.042,-0.0343,-0.12377,-0.01756,0.223558,0.0801,0.0764,0.063373,0.029224,0.0977,0.476983,0.00127,-0.23783,-0.02055,-0.000161,-0.18115,0.315013
77.5,-0.10576,-0.0419,-0.0642,-0.15724,-0.0614,-0.12308,0.0902,0.0815,0.0537,0.0126,0.0467,0.00962,0.00677,-0.30084,-0.02,-0.046,-0.20666,-0.17809
78.5,-0.0905,-0.0386,-0.0702,-0.16998,-0.0846,-0.40843,0.0884,0.0818,0.0528,-0.00354,0.0099,-0.25557,0.0123,-0.31211,0.00412,-0.10047,-0.23048,-0.50715
79.5,-0.0774,-0.0298,-0.0574,-0.16521,-0.10481,-0.58653,0.0703,0.0757,0.0598,-0.0161,0.014,-0.41405,0.0218,-0.28691,0.048,-0.15618,-0.25998,-0.66538
80.5,-0.08847,-0.0177,-0.04714,-0.16122,-0.13353,-0.68009,0.0498,0.061549,0.0666,-0.016,0.0457,-0.5324,0.0254,-0.28406,0.0837,-0.19043,-0.27554,-0.7152
81.5,-0.12163,-0.0133,-0.0367,-0.17058,-0.15659,-0.76469,0.0426,0.0479,0.0698,-0.0059,0.0622,-0.61118,0.0114,-0.3151,0.088105,-0.19364,-0.26516,-0.72525
82.5,-0.16398,-0.0217,-0.01598,-0.18507,-0.158,-0.84284,0.0513,0.0516,0.0801,0.00561,0.0416,-0.60091,-0.0108,-0.33493,0.0759,-0.18655,-0.24982,-0.72787
83.5,-0.18826,-0.0385,0.00311,-0.19561,-0.16217,-0.87755,0.0593,0.06,0.100919,0.00408,0.0108,-0.56366,-0.0184,-0.32416,0.060387,-0.19364,-0.24746,-0.74603
84.5,-0.19365,-0.06034,0.00122,-0.20978,-0.18247,-0.88941,0.0468,0.048684,0.109083,-0.0199,-0.00356,-0.58359,-0.00387,-0.32227,0.0318,-0.20001,-0.23982,-0.74957
85.5,-0.19613,-0.076,-0.0108,-0.22493,-0.19491,-0.89931,0.0237,0.026868,0.0948,-0.0579,-0.00403,-0.63785,0.00526,-0.32942,-0.000308,-0.16826,-0.22055,-0.73408
86.5,-0.19343,-0.0735,-0.0153,-0.22475,-0.17655,-0.91563,0.00108,0.014491,0.0652,-0.0854,-0.00236,-0.68612,-0.0137,-0.32259,-0.00826,-0.11593,-0.22016,-0.74821
87.5,-0.19583,-0.0673,-0.0245,-0.20533,-0.15078,-0.90788,-0.0123,0.0143,0.0289,-0.0972,0.00691,-0.70707,-0.0331,-0.30922,0.00631,-0.0994,-0.2455,-0.77228
88.5,-0.20364,-0.06855,-0.0403,-0.19522,-0.14773,-0.88602,-0.00987,0.0103,0.0207,-0.11211,0.0227,-0.72148,-0.0302,-0.30125,0.0193,-0.12057,-0.26355,-0.79839
89.5,-0.21684,-0.0773,-0.0628,-0.19443,-0.1674,-0.85006,0.00838,0.00225,0.0408,-0.13023,0.0451,-0.72935,-0.00495,-0.2987,0.0306,-0.17947,-0.27432,-0.82653